,marital,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,edu_primary,edu_secondary,edu_tertiary,edu_unknown,housing,loan,po_failure,po_other,po_success,po_unknown,cont_cellular,cont_telephone,cont_unknown,age,default,balance,duration,campaign,pdays,previous,deposit
7421,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.11097388114328487,-0.1243657856067806,7.1026144811850065,-0.8619352239316893,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
11064,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.145538653384223,-0.1243657856067806,0.430442877044685,0.5312493092984892,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,0
9852,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,-0.8648814018597896,-0.1243657856067806,-0.6084701402627922,-0.8878951841782144,-0.18902852844538837,2.537265494142688,6.087114730910024,0
8707,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.05656112346038285,-0.1243657856067806,-0.47763716702980047,-0.7465576228360223,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
8586,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,-1.0324164064634573,-0.1243657856067806,1.9505236063370042,-0.19562957760421262,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
10750,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.22409612806405055,-0.1243657856067806,-0.3158011195709813,0.11300550532669652,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
6501,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,-1.0324164064634573,-0.1243657856067806,-0.06839658724887838,0.33799182746324713,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
5317,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-0.027206378841451006,-0.1243657856067806,0.1805580987845159,-0.6975221423703639,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
3776,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-1.199951411067125,-0.1243657856067806,-0.4143908956091125,0.28607190697019697,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
7066,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0.22409612806405055,-0.1243657856067806,-0.37067656095069584,-0.47253582023381335,1.9968152839727502,-0.4824295273010987,-0.35863459101018713,0
3731,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-1.6187889225762941,-0.1243657856067806,-0.34649416305455044,-0.16101629727551253,-0.5533358305150782,1.164676848031876,3.9385316236032866,1
7924,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-0.8648814018597896,-0.1243657856067806,0.15792585459966188,-0.29081609850813783,0.903893377763681,-0.4824295273010987,-0.35863459101018713,0
7393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-1.2837189133689588,-0.1243657856067806,-0.47763716702980047,0.6870090707776397,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
3376,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.47539863496955215,-0.1243657856067806,-0.3883483132594175,-0.5158024206446884,-0.5533358305150782,1.1829780299800203,0.07108203045116027,1
847,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.39163113266771826,-0.1243657856067806,0.1176218581060862,0.6697024306132896,1.2682006798333707,-0.4824295273010987,-0.35863459101018713,1
10207,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0.30786363036588443,-0.1243657856067806,-0.47763716702980047,-0.6773310621786222,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
799,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-0.7811138995579557,-0.1243657856067806,0.059336078561530635,4.324287945318541,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,1
9680,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-0.11097388114328487,8.040796712061926,-0.635442814839262,-0.21293621776856267,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
9570,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-1.0324164064634573,-0.1243657856067806,0.39230909574691725,-0.22447397787812937,-0.5533358305150782,0.37772602426167706,1.7899485162965496,0
7720,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.9486489041616234,-0.1243657856067806,-0.4773271362875422,-0.8186686235208143,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
4510,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.6973463972561218,-0.1243657856067806,1.6144502817290347,3.482031457320172,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
4645,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-0.027206378841451006,-0.1243657856067806,1.232802438009099,0.6120136300654562,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
7552,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.39163113266771826,-0.1243657856067806,0.433853215209526,-0.5100335405899051,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
1332,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-0.3622763880487864,-0.1243657856067806,-0.06963671021791148,-0.06294533634419561,-0.18902852844538837,0.5515872527690466,0.9305152733738551,1
10245,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.9780036487805552,-0.1243657856067806,0.3216220865120307,-0.21005177774117098,0.5395860756939912,0.5058342978986862,0.5007986519125076,0
4318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.73191116949706,-0.1243657856067806,-0.47763716702980047,-0.4177314597133715,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
5095,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1.0324164064634573,-0.1243657856067806,4.315128077540862,-0.3110071786998796,1.6325079819030606,-0.4824295273010987,-0.35863459101018713,1
8881,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,-0.9486489041616234,-0.1243657856067806,0.4834581339708499,-0.7119443425073223,-0.5533358305150782,1.2012792119281646,1.3602318948352023,0
2761,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.1403286257622167,-0.1243657856067806,0.31511144092460697,-0.5936823013842637,0.17527877362430141,1.2012792119281646,1.7899485162965496,1
276,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.05656112346038285,-0.1243657856067806,-0.4450839390926817,2.2705666458156686,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,1
8471,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0.39163113266771826,-0.1243657856067806,-0.37439692985779516,-0.2533183781520461,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,0
6981,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-0.2785088857469526,-0.1243657856067806,-0.2674363237786905,-0.8359752636851643,-0.18902852844538837,0.91761089173193,0.07108203045116027,0
2853,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,-0.9486489041616234,-0.1243657856067806,-0.2615457396757833,-0.4523447400420716,0.17527877362430141,0.25876834159873996,1.7899485162965496,1
7932,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-1.1161839087652912,8.040796712061926,-0.5870780190469713,-0.8157841834934225,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,0
9983,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0.9780036487805552,-0.1243657856067806,-0.05723548052758051,0.07262334494321308,-0.18902852844538837,0.37772602426167706,0.5007986519125076,0
5391,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.47539863496955215,-0.1243657856067806,-0.47763716702980047,-0.18409181749464593,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
3140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-0.3622763880487864,-0.1243657856067806,-0.2519347866657768,-0.7004065823977556,-0.5533358305150782,1.1189238931615157,0.5007986519125076,1
10580,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.7811138995579557,-0.1243657856067806,-0.420591510454278,-0.4090781396311965,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,0
2470,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.05656112346038285,-0.1243657856067806,-0.41532098783588733,-0.3081227386724879,-0.5533358305150782,0.4692319340023979,0.9305152733738551,1
417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-1.2837189133689588,-0.1243657856067806,-0.48662805855529045,1.8061718014056092,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,1
7574,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.8648814018597896,-0.1243657856067806,-0.11490119858761953,-0.49561134045294675,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,0
1974,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,-0.44604389035062025,-0.1243657856067806,-0.05785554201209706,3.897390821264573,-0.5533358305150782,2.7843314504426346,0.5007986519125076,1
10973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.6429336395732198,-0.1243657856067806,-0.362925792394239,0.040894504641904666,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,0
9625,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,-0.11097388114328487,-0.1243657856067806,-0.26216580116029986,-0.2937005385355295,-0.5533358305150782,2.7111267226500577,3.9385316236032866,0
7088,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3.2397262109300695,-0.1243657856067806,-0.42400184861911905,-0.8215530635482059,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,0
3746,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1.061771151082389,-0.1243657856067806,0.0295731273047363,1.835016201679526,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
9964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-0.9486489041616234,-0.1243657856067806,-0.4413635701855824,-0.6830999422334055,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
4598,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.1403286257622167,-0.1243657856067806,-0.4367131090517083,-0.5331090608090385,-0.18902852844538837,0.17641302283209123,0.07108203045116027,1
4984,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,-0.5298113926524541,-0.1243657856067806,1.691647936551345,2.160957924774785,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
6972,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0.1403286257622167,-0.1243657856067806,0.24008400129810456,-0.9513528647808313,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
10779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.8942361464787214,-0.1243657856067806,-0.46647606030850264,-0.10621193675507071,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
10956,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.30786363036588443,-0.1243657856067806,-0.40912037299072185,-0.8042464233838559,-0.5533358305150782,1.6771099425799127,0.07108203045116027,0
9517,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.8648814018597896,-0.1243657856067806,-0.4729867058959264,-0.7292509826716723,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
6281,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.1947413834451187,-0.1243657856067806,-0.47763716702980047,-0.4869580203707717,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
10331,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.8104686441768876,-0.1243657856067806,-0.35827533126036487,-0.9600061848630063,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
5189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-1.199951411067125,-0.1243657856067806,0.6979994076135758,-0.26774057828900444,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
1598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.027206378841451006,-0.1243657856067806,-0.18558820782250607,-0.4408069799325049,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
5032,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,-0.3622763880487864,-0.1243657856067806,-0.08203793990824246,-0.6513711019320971,-0.5533358305150782,0.3868766152357491,0.5007986519125076,1
185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0.39163113266771826,-0.1243657856067806,4.01191801161227,2.587855048828753,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
971,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-0.9486489041616234,-0.1243657856067806,2.2447427807401064,1.517727798666442,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
7292,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-1.0324164064634573,-0.1243657856067806,-0.471436552184635,0.17069430587453,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
9844,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.8942361464787214,-0.1243657856067806,-0.4354729860826752,-0.8186686235208143,0.903893377763681,-0.4824295273010987,-0.35863459101018713,0
6008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0.30786363036588443,-0.1243657856067806,-0.6317224459321629,-0.3225449388094463,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
1868,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-0.11097388114328487,-0.1243657856067806,-0.47763716702980047,0.8225777520650484,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
9879,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.2293061556860567,-0.1243657856067806,-0.4063300963103974,-0.8619352239316893,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,0
262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,-0.5298113926524541,-0.1243657856067806,-0.45655507655623784,2.057118083788685,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
8020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.8104686441768876,-0.1243657856067806,-0.47763716702980047,0.39856506803847225,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,0
1770,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,-0.2785088857469526,-0.1243657856067806,1.4966385996708904,1.586954359323842,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,1
6763,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,-1.2837189133689588,-0.1243657856067806,-0.2649560778406243,-0.7898242232468975,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
6229,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.9486489041616234,-0.1243657856067806,-0.42028147971201973,-1.0407705056299732,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
702,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-0.1947413834451187,-0.1243657856067806,-0.13536322757666563,0.06685446488842973,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
4340,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.2293061556860567,-0.1243657856067806,-0.20791042126510184,-0.3311982588916213,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
10829,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,-0.9486489041616234,-0.1243657856067806,-0.3871081902903844,0.8052711119006983,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,0
594,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,-0.1947413834451187,-0.1243657856067806,2.8350413139998603,2.8762990515679205,2.36112258604244,-0.4824295273010987,-0.35863459101018713,1
8278,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1.145538653384223,-0.1243657856067806,6.711665715197323,-0.8503974638221227,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
2590,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,-0.3622763880487864,-0.1243657856067806,-0.43826326276299965,-0.5186868606720801,-0.5533358305150782,1.2927851216688853,0.07108203045116027,1
10023,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-0.7811138995579557,-0.1243657856067806,-0.21938155872865797,-0.4177314597133715,0.903893377763681,1.027417983420795,0.9305152733738551,0
1895,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,-0.44604389035062025,-0.1243657856067806,-0.5731266356453489,1.0187196739276823,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
8085,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.7811138995579557,-0.1243657856067806,0.2056705889074361,-0.7177132225621057,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,0
1732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1.0324164064634573,-0.1243657856067806,0.37587746640722874,0.7879644717363483,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
6619,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.061771151082389,-0.1243657856067806,-0.45159458468010544,-0.9744283849999646,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
3625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-0.613578894954288,-0.1243657856067806,0.5457743131647631,0.32645406735368043,-0.18902852844538837,1.6039052147873363,1.3602318948352023,1
4818,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1.8156786717988938,-0.1243657856067806,0.022132389490537717,-0.4004248195490215,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
3194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2.9884237040245676,-0.1243657856067806,-0.27983755346902145,-0.2417806180424794,-0.5533358305150782,1.247032166798525,0.07108203045116027,1
10002,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.9832136764025614,-0.1243657856067806,-0.32479201109647127,0.7216223511063398,-0.5533358305150782,1.1921286209540924,0.07108203045116027,0
9628,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.73191116949706,-0.1243657856067806,-0.049484711971123654,1.869629482008226,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
7194,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.11097388114328487,8.040796712061926,-0.47763716702980047,-0.5965667414116553,0.903893377763681,-0.4824295273010987,-0.35863459101018713,0
4059,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.22409612806405055,-0.1243657856067806,-0.1397036579682815,-0.5590690210555636,0.5395860756939912,0.37772602426167706,2.219665137757897,1
4342,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,-0.2785088857469526,-0.1243657856067806,1.1081700796212728,-0.15524741722072918,-0.5533358305150782,0.3960272062098212,2.6493817592192443,1
4479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,-0.11097388114328487,-0.1243657856067806,0.712880883241973,-0.40330925957641317,-0.18902852844538837,3.269312772068455,0.5007986519125076,1
4546,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,-0.613578894954288,-0.1243657856067806,-0.2686764467477236,0.6206669501476312,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
891,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,-0.6973463972561218,-0.1243657856067806,0.5901087093076963,-0.6571399819868805,-0.5533358305150782,0.3594248423135329,1.3602318948352023,1
10282,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0.22409612806405055,-0.1243657856067806,-0.4357830168249335,-0.3167760587546629,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,0
311,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-0.1947413834451187,-0.1243657856067806,0.23636363239100527,1.1629416752972659,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,1
9639,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-0.027206378841451006,-0.1243657856067806,-0.47081649070011844,-0.6340644617677471,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,0
7385,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,-1.1161839087652912,-0.1243657856067806,-0.39888935849619883,-0.6427177818499221,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
3075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.5298113926524541,-0.1243657856067806,-0.47763716702980047,-0.5331090608090385,1.6325079819030606,-0.4824295273010987,-0.35863459101018713,1
6667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.22409612806405055,-0.1243657856067806,-0.3923787129087751,-1.0523082657395397,0.903893377763681,2.8849879511574277,1.3602318948352023,0
5732,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0.6429336395732198,-0.1243657856067806,-0.5495642992337202,-0.7667487030277641,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,0
